tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,Gz7F9WTaJwCzAm551WQdT_DHzYaF1ioVrRKn1IQrZ3B8iMI,FA Racoon,655,319,286,False,False,True,False
CHALLENGER,JedvNjC6EHDjX0nO0mloUKdEpcQOlEu3y5riJl656shqDQs,vdsqwqerx,828,383,329,True,False,False,False
CHALLENGER,l4gYjY__re_YtH1T_Yrkzsezw1QEgE7q3g-8-klH-KGPQa0,퍼플팀 죠앤,779,149,97,False,False,False,True
CHALLENGER,sJqETcYIyrLF7dN0WNUsnKjyWzqyg_-EcCrMJ1kyW2oBCPs,msblmktmsmsy,1116,488,400,True,False,False,False
CHALLENGER,9LhQ8X6QMS-ZPHaFQOzJLxH-EJ94W8gJoU8A7yjWk3Z54Z8,Luuren,885,242,198,True,False,False,False
CHALLENGER,MCzHEgNgNZjATl7klog0W3_psJM8Fwq_2S-vT8AnhaTYwDc,7777케이,662,785,737,False,False,False,False
CHALLENGER,jR-xXxE_03xeofkxGu07gXYRcRt9iDDAdPAkfvleDIHRZsg,FPXzhaoAP4506303,855,418,299,True,False,False,False
CHALLENGER,w09rOtxBACgZgUa4NtMZhCGNqodQLKOTDiPLCOzkkbsbYu0,화내 지 마1,672,547,498,False,False,True,True
CHALLENGER,kZ8nuRL_YsLQ0UVpP7CnDOUK3Wgb0Fh-ECNgk_ATxRJmTq8,impupupu,671,378,330,False,False,True,False
CHALLENGER,Li20klyFpTAvHogspSeoxDTZ7AtF5zUWsyfduxxwd4ee7yM,Single beltk,646,220,117,False,False,True,False
CHALLENGER,iSm2wnNylrc0ZzteRTZz6pouUffcyp736b4xuN4s5sQYKlU,wuhudsm,1331,624,512,True,False,False,False
CHALLENGER,OeB7eobkdNRnGoQMOp_j0T0WATKb3I2Tq4UgtE23oRPV9g,입대를앞둔남자,669,184,142,False,False,True,False
CHALLENGER,xwepNlGE8tqQDGlAuAQvH7Eyx0Lnhk9oJykqKfLYtFxxVNA,악어새,814,353,305,True,False,False,False
CHALLENGER,ooTfKR8_3RVeKvQHJqvbOVYbMnfRFulDDR1LrfJCL4xg4w,JustLikeThatKR,788,316,309,False,False,False,False
CHALLENGER,9xMaxprWe11cEV8V5eKUko0xFlwjOsocIs81Z3sgU0VikTg,suyin,716,552,454,False,False,True,True
CHALLENGER,Bp4fxPWKjLBwSqBH3UEksNlqrIiktqM_k0pyrgXzGSNqVMM,hick billy,689,338,301,False,False,True,False
CHALLENGER,sZliTmKBeCt8jvYE0sUf_0ZhYly98YIiYct8J41qV9bXCX4,knightzz,823,465,364,True,False,False,False
CHALLENGER,qGRAslcM9Pmf-Om4gjVpiOtd9qQXYamVut_JQVuiVktX5-E,zwhy,1075,286,223,True,False,False,False
CHALLENGER,qHyQGjMYjX2Y_D3Ayl-tRvSG2bO3nub0HqIOlTQFU6RPYxw,Wubalubadubdub,651,602,555,False,False,True,False
CHALLENGER,mFvgUYGzeuqPS7NUG4tjMiK1FIThvHP7_KoFg6W6FWYUcQU,읽씹맨,817,267,215,True,False,False,False
CHALLENGER,Ysigp8zou6-iuGe5rYTucjlrP1pZnon6KJqRKsJk17N5pCs,SANDBOX Leo,1038,571,523,False,False,True,True
CHALLENGER,DIDlfGBCVMiRYXt-eIvpgha4nTNWZqopZF1rMolDRKLKdN0,원딜 왕자 이채환,1278,247,172,True,False,False,True
CHALLENGER,NMVlSsPk5-K6H4PNufZIILhiaVJMglD2-ncjzt37dfiW7g,김구거,933,420,373,False,False,False,True
CHALLENGER,NqBwD1HFyJJkE8shw-jdu1x4FBpH0gag_Kp5jVTf3THJUQ,내현자타임,677,550,528,False,False,True,False
CHALLENGER,X8_tI3B93bU3Eis4UWPJCjrIyh9RL8nJ7kj8SHRvN8klZNI,T1 Roamer,872,968,921,False,False,False,False
CHALLENGER,6tf2ZWQqOt39HwUMNrfAWv9aL4rLPjHw9i9zryMR6mx3e8M,T1 Cuzz,904,295,248,False,False,False,False
CHALLENGER,qikm6vvOCvWVWCsN1Utz3mEtvmoRCjz1V7pSaHKsqKx3RFk,주먹밥쿵야1,947,193,141,True,False,False,False
CHALLENGER,t24lyyfDKqKHrtOC3Vlni8lsOXafyX0mXthCMWHgSNhi-Q,SHARK KING,740,180,66,False,False,False,False
CHALLENGER,x28SrR9Up9ASnPZy_BdRW6DuxDp-1inIBxnKXJZY_iW3cv0,jkjkjkjkk,707,434,389,True,False,False,True
