,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
154,CHALLENGER,gwtGZJIXsrboEJwN6lwhodt-CvX-ZEjgGxXjUIfj5ovaBJQ,10k EGO,722,498,446,False,False,False,False
155,CHALLENGER,We7cvzOClg01AdP7sq6h9WQubXGYJDZtlVt_sEusTziinw,SRY THX GG,670,342,294,False,False,True,False
156,CHALLENGER,ebShu0jlKegPMaKzuhgc3x7ftgGm9u36cnMmCc2zX4OWces,owoowoowoowoowo,1306,293,139,True,False,False,False
157,CHALLENGER,808xpM-9hZrpNykI6LWZY-S21Iew-GmWytZBy_hHVFe_YA,불다이아,721,115,114,False,False,False,False
158,CHALLENGER,X7ion83Nlk6egTx-MYywomRCwZVGxhaUBrPLsXJc_F6DJQY,7777케이,662,785,737,False,False,False,False
159,CHALLENGER,ZMkKK2rmFcyRgVBy24EDvHNAgZi3fR1xExFykzdhKNvL6nA,always confident,804,301,251,True,False,False,True
160,CHALLENGER,1_QUseJC4erQmIFmqfZwd8VA8g3LjqaJCmw2sM0KWaf-HRc,zww,782,211,168,False,False,True,True
161,CHALLENGER,qnj6zBqbO6pImSDLvKWc43xXL2pgBnIe1ae1L4KZeA4aXew,화내 지 마1,672,547,498,False,False,True,True
162,CHALLENGER,AC65erMl6-c1tmEZjZw3B-AbXAE5cwM7T-j-e03coO_dJGo,엘 림,759,497,459,False,False,False,False
163,CHALLENGER,6GsX7O13uD5h-cqzRBhOyA_aH9GuL199cWJpnT2K5Zw4F1A,URGOLD,660,292,225,False,False,True,False
164,CHALLENGER,iQECXVHvsbV4J9OIOtximf0sPEj_VR1OeIz_SbMqc4XoqaA,qqiqi77,758,268,230,True,False,False,False
165,CHALLENGER,GhlngvFr7yEJKnaV4pSXT0B0lhM4gfg-Oq1utgu_asOIYpk,헤 돈,674,150,98,False,False,True,False
166,CHALLENGER,1FdOIQK31If4qbAEOX3ZxvkL2ANyjyqRwejInQY2gWKr-dM,실망자,819,306,267,True,False,False,False
