tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,Zx8djUzlMP7xUQzhaCfRKF-quJ24q5KmQ1BnJECGNdBwxA,BRB Ming9,307,503,516,False,False,False,False
GRANDMASTER,T_mI_Sfj5Z7rUjmFbaFHrC_F2jYIc8W1uXrctg4l4Hhjn2Q,yyyyxxxxzzzz,606,752,706,False,False,True,False
GRANDMASTER,-5vX-bLDXk3E1E7FWPvpbO3HiFsvhuEJ2AdwHZ3GCFa2NMU,fkyyyyy,326,955,940,False,False,True,False
GRANDMASTER,9mERwXMmtWepCBH_84IjmbogsztYpoVF846JDDRl6T2jPhOf,NVM IDC,397,171,93,False,False,False,False
GRANDMASTER,VxzKb9wsJByT085tr90wacvO_ZBY-6E4TLRrwyfnToSuLws,Gen G yuzin,309,630,614,True,False,False,True
GRANDMASTER,wNEa-OmjpIJ7RU96lS_mcxwvHeExOZyiHbKyBqZdXEISuF4,초보들의 왕,474,561,473,True,False,False,False
GRANDMASTER,F7MMy76QdXQXczCFVG0kLMqjSuIoZqlYQd_gd4Xftsn2EJc,xiaozhupeiqi,411,640,611,False,False,True,False
GRANDMASTER,d6hK3csHnXB3t7dNw4Jydxu9vKia991p4gmmNmNUmsH0oNs,aabbcc123,582,250,211,False,False,False,False
GRANDMASTER,MRNz9L4nJ1g4BAA2TMNv8kZIZsJv17u7KEFISqsCI-R8vGs,fat sheep,393,798,677,False,False,False,False
GRANDMASTER,KHcS3dPK8Le9uj1p94KClw7r6OWSiuRvCPXtS5_JabZ1ZlI,우싹씨,533,229,185,False,False,True,False
GRANDMASTER,WivJcFqORcQz2vY_cvHrThzD47_X0tl4qzMxQF-DrbV0nuk,정글차이노인정,334,183,151,False,False,True,False
GRANDMASTER,YQg2o94Or8_SRjEzNnz4R73UPjI0SV_v7W9yu9g0_9ou1yI,kexikexi,542,235,191,True,False,False,False
GRANDMASTER,3LJKkn0ecbBu1KewwXz3hDjUSB3ZoLLK6wv4W9JPLCg9shc,MAKJANG,468,117,82,False,False,False,True
GRANDMASTER,U4EBzf3tDPv-iRbaIh8_MJ_OpRcrx2j2GoYh5mtlXXJrYSQ,liuyanyi,314,643,621,False,False,True,False
GRANDMASTER,SeK9eJshdYHWWpo--1q4vPYIjdg7xt_Ns6QCXE6X1ZlEmlAi,Xs Ju Mp,291,184,120,False,False,False,False
GRANDMASTER,fhvV-EUBhZCvM-pi1rU_shWi-v1xrRkHbb4yLZYJjVxLUA,쿠붕이,543,332,323,False,False,False,False
GRANDMASTER,81PiHbFpYtsKiKV9DBOAqZOmJY03_lK1BhN4g7mC-Hxwp54,Yunohana,380,245,223,True,False,False,False
GRANDMASTER,-52lAN4d6nMtQdSagmuOdVPnyUlBueUD2HS-hOu84qaHso0,큰 대 빛 광,517,389,281,False,False,True,False
GRANDMASTER,K2dTzjnmJqGoPIY4lRRGF-QFNpoB6e5tUcdArgb17K-Qevc,Iove doinb,400,635,602,True,False,False,False
GRANDMASTER,3WMDZjaDgOcSq9qfBazCKHbidaUU_cobrsnr4ozEXjQJJes,BIank Space,553,473,452,False,False,True,False
GRANDMASTER,2cTodeXZwAJngCkQEwCFTA80UwhWudPX19H8MJusC6IPP4Y,tiancaipaidaxing,312,581,561,False,False,True,False
GRANDMASTER,618XTTvudibBy_XfzUcPlp488xmRLRZbr-gd-dEjpH72Xuc,heeseong,303,83,51,False,False,True,True
GRANDMASTER,zstMG3-Csbh4kCn1a-Fc4C_eAMcbeKW1xdVq06gllAX-BzY,피콜로이zz,575,338,249,False,False,True,False
GRANDMASTER,5aC4BGigKaMRhjkz6ZaZZvFf3FC9md-cKsRyN7Ry-AiSWA,전설의용사김한샘,465,609,584,False,False,False,False
GRANDMASTER,LpWevrQzcZl8fti6zss8dDXnGalc1Qd13oqr5LQ65nqdQLw,saaclzx,485,532,509,False,False,True,False
GRANDMASTER,w5PW2DMwf1CK1U3x3-AmmI0-XSzHqEaUnawPXk7TyspuOcg,Azhi OuO,407,485,434,True,False,False,False
GRANDMASTER,1UQM0pCZqWWjSWe5U74rKXubt76HPFGKtqUfkTJ95lhpwxE,fasjklfasjksad,403,231,184,False,False,True,False
GRANDMASTER,kKcIFaljzpx19gOsQkhawIu5ZS32ukUadvXSblCtC47xM5Y,손연우 남자친구,454,385,361,False,False,False,False
GRANDMASTER,-z31il8qW4pGTQTyOGcPqurbcajXvAVZPw5WNd2B7q-6yv4,aimi ailun,416,129,101,False,False,False,False
GRANDMASTER,mpE7XYAP05IA4fDZgah3StIlPLXEAi5tPMXiE_mViurTEzo,Fotune,512,430,389,False,False,False,False
GRANDMASTER,GhVoPSp7G8ELhxqwWpowmqqLxQqwsoRkxBcRqKWRLQSI82w,Mercieun,357,236,189,False,False,True,False
GRANDMASTER,dMbcMszpMEmd1cDXv8jRdWP3pI-mN_Br6GPbLMibrUwG1SM,Easy 1ife,435,523,507,False,False,False,True
GRANDMASTER,J9Ybl7_31K-G9dpzMLyDCqIOGmNw5kS1qIzRfrf6scDD8lE,식혜성애자,357,460,440,False,False,False,False
GRANDMASTER,w38ajwQY5wAb3jNVPrb4ldy4vZO59ekwi-F3m6loIKuP7l8,오류동 갈꺼야,313,404,396,True,False,False,False
GRANDMASTER,tDodhtyWhIAK-HgqqRPlsU4Xt3RIZ7qto6cR4qvq1lF--w,킬러톱,371,561,528,False,False,False,False
GRANDMASTER,Os2QYHpWyMBfnN089OCtEdAT3_XEx5dcvPprrViPA-4XDoU,그녀의 애완견 ,452,229,96,False,False,False,True
GRANDMASTER,cXjajx4zhQRscRMH4x0Mz42BS5y5gRuLvAeQp1OGWydS0S8,chixiaoyubaby,568,377,280,False,False,False,False
GRANDMASTER,3Q3Wh6K3dEhXICuwMmKaIOtmjtX__7qeo2gF07ocIui8S0o,Un0wn,302,348,329,False,False,False,True
GRANDMASTER,IZWWuALfeu4qEMd4xiU0pi-sikRcSRkG8uu1iwgVdd631KA,EGOkr18,309,781,751,False,False,False,False
GRANDMASTER,cxkzPJWVl_1QE6nPF2n4aY510hHA32JFuavAUpym8znjDy8,텐텐이,444,364,373,True,False,False,False
GRANDMASTER,dNilo0SxDLa_rlssVrVr5vk5JByBvJ85LU-7hpbqBxJaZeI,작은벌세마리,310,510,503,False,False,True,True
